visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,booking_bool
55,NULL,NULL,98,3,2.0,0,3.09,0.0931,4.28,164.59,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
55,NULL,NULL,98,3,0.0,0,3.09,0.3206,3.62,54.33,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
55,NULL,NULL,98,4,3.5,0,2.83,0.2257,4.13,105.47,1,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,0.0,0.0,NULL,1.0,0.0,17.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
55,NULL,NULL,98,3,4.5,0,3.81,NULL,3.54,51.13,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
55,NULL,NULL,98,3,0.0,0,2.94,NULL,3.88,33.56,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
55,NULL,NULL,98,3,4.0,0,3,0.3602,4.19,59.12,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
55,NULL,NULL,98,3,3.5,0,2.83,0.3418,4.05,68.71,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,0.0,0.0,NULL,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
55,NULL,NULL,98,4,0.0,0,2.56,NULL,4.68,124.64,1,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,1.0,0.0,122.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
55,NULL,NULL,98,4,3.5,0,1.79,0.0453,4.97,95.88,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
55,NULL,NULL,98,3,4.0,0,2.77,NULL,3.99,68.71,1,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,1.0,0.0,20.0,-1.0,0.0,5.0,NULL,NULL,NULL,-1.0,0.0,5.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
55,NULL,NULL,98,4,4.5,1,1.79,0.036,4.97,174.18,1,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
55,NULL,NULL,98,3,3.0,0,2.94,0.2163,4.28,68.71,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
55,NULL,NULL,98,4,5.0,0,1.61,0.0265,4.97,124.64,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
